id,county,registeredVoters,turnout,pop2020,LessThan9,SomeHighSchool,HighSchoolGrad,SomeCollege,Associates,Bachelors,GradorProfDegree
60,Montmorency,8622,68.5,9188,3.137354929,10.26654763,42.71138885,22.82872083,8.136717255,8.430047188,4.489223313
61,Muskegon,141609,65.12,175323,2.327782995,7.407831551,34.77855905,27.07679623,11.07013887,12.05881679,5.280074513
62,Newaygo,40031,68.25,48809,3.56840813,9.9631701,40.19096985,23.15918701,8.489974083,9.701268585,4.927022234
63,Oakland,1038159,74.67,1264514,1.56195917,4.682383437,20.16548796,23.64056049,7.701807199,24.96525037,17.28255137
64,Oceana,21324,66.37,26589,2.949482272,9.821148415,36.20960151,24.73067671,8.550360841,11.57305721,6.165673047
65,Ogemaw,17914,66.88,20996,2.944647704,12.11495338,39.1537826,25.71108226,8.721822259,7.34096542,4.012746371
66,Ontonagon,5774,66.38,5560,1.599229287,6.666666667,39.34489403,23.2177264,12.71676301,11.46435453,4.990366089
67,Osceola,18513,66.99,23354,3.929910989,8.738733695,44.52219672,21.73207188,8.363656721,8.447629178,4.265800817
68,Oscoda,7328,70.8,8217,5.988293561,11.7514633,36.45505028,27.79528741,7.879333633,6.558607234,3.571964581
69,Otsego,23103,64.29,25046,1.351986219,7.067912512,34.36341807,24.75857389,9.797985071,15.29989038,7.360233857
70,Ottawa,221557,76.46,295791,1.74476018,4.756904135,28.54961391,26.47921654,8.722837475,20.60329587,9.143371886
71,Presque Isle,72.35,72.33,12636,3.123534378,8.226245193,38.46731076,24.45361598,8.929743926,10.59000094,6.209548823
72,Roscommon,23067,65.56,23778,1.751766697,8.913108391,40.90773365,25.8037225,8.325868418,8.465213497,5.832586842
73,Saginaw,157209,66.15,188921,2.678949384,8.371464855,33.23859246,27.28469968,9.486853864,12.60322388,6.336215875
74,Sanilac,31842,70.87,40944,4.075127348,8.700271883,41.58254945,23.24760149,9.256539267,8.456514266,4.681396294
75,Schoolcraft,7269,65.77,7968,3.955911218,6.930394081,45.13060547,20.85157783,8.394987166,10.34274498,4.393779254
76,Shiawassee,56154,70.35,68156,1.354363749,6.606972257,36.49663751,28.64207707,10.98289718,10.70565536,5.211396887
77,St. Clair,134991,68.59,158893,1.882024286,8.103765663,34.95914611,26.8061297,11.38983981,10.84808164,6.011012789
78,St. Joseph,47639,59.04,61028,4.089873446,8.709873897,38.30449593,24.90243407,9.271582937,9.440772406,5.280967313
79,Tuscola,43124,68.7,51674,2.570773858,8.948775481,41.43075381,24.20155631,10.03007591,8.690982002,4.127082637
80,Van Buren,61084,64.36,75545,3.20168052,8.887923073,32.74116731,25.98286884,9.460169139,13.16347042,6.562720704
81,Washtenaw,319350,68.21,376857,1.040113985,3.59966389,15.93124361,27.51315213,6.397778752,23.78306298,21.73498466
82,Wayne,1410492,61.5,1741463,3.196507439,10.18170865,30.78578722,26.48596208,8.127403385,13.25436472,7.968266511
83,Wexford,27612,66.47,33755,2.782850337,8.995633188,37.04247717,24.89082969,9.646685193,11.8023025,4.839221913
