GEO_ID,NAME,totalHHS,hascomputer,dialup,broadband,nointernet,nocomputer,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpoverty,hascomputerPerc,dialupPerc,broadbandPerc,nointernetPerc,nocomputerPerc
1400000US53033003300,"Census Tract 33, King County, Washington",3382,3258,0,3181,77,124,6416,82.5,5.2,0,96.33353046,0,94.05677114,2.276759314,3.666469545
1400000US53033003400,"Census Tract 34, King County, Washington",1560,1524,0,1480,44,36,3045,81.8,4.1,7.8,97.69230769,0,94.87179487,2.820512821,2.307692308
1400000US53033003500,"Census Tract 35, King County, Washington",1921,1836,9,1768,59,85,3535,71.1,2.8,18.6,95.57522124,0.468505986,92.03539823,3.071317022,4.424778761
1400000US53033003600,"Census Tract 36, King County, Washington",3745,3516,35,3297,184,229,6263,74.6,3.3,5,93.88518024,0.934579439,88.03738318,4.913217623,6.11481976
1400000US53033003800,"Census Tract 38, King County, Washington",915,877,8,842,27,38,1887,71.6,2,19.5,95.84699454,0.87431694,92.02185792,2.950819672,4.153005464
1400000US53033003900,"Census Tract 39, King County, Washington",1202,1174,0,1174,0,28,2394,68.2,2.4,9.3,97.67054908,0,97.67054908,0,2.329450915
1400000US53033004000,"Census Tract 40, King County, Washington",1396,1366,0,1214,152,30,2541,69.8,3.7,22.9,97.85100287,0,86.96275072,10.88825215,2.148997135
1400000US53033004100,"Census Tract 41, King County, Washington",2957,2932,0,2692,240,25,6300,62.6,4,8.4,99.15454853,0,91.03821441,8.116334122,0.845451471
1400000US53033004200,"Census Tract 42, King County, Washington",3370,3284,0,3249,35,86,6768,69.9,3.7,9.4,97.44807122,0,96.40949555,1.038575668,2.551928783
1400000US53033004301,"Census Tract 43.01, King County, Washington",1458,1398,0,1329,69,60,3148,63.5,1.7,0,95.88477366,0,91.15226337,4.732510288,4.115226337
1400000US53033004302,"Census Tract 43.02, King County, Washington",1594,1502,0,1283,219,92,4045,52.9,10.8,20.1,94.22835634,0,80.48933501,13.73902133,5.771643664
1400000US53033004400,"Census Tract 44, King County, Washington",2757,2701,15,2472,214,56,7271,76,7.5,17.7,97.96880667,0.544069641,89.66267682,7.76206021,2.031193326
1400000US53033004500,"Census Tract 45, King County, Washington",1027,961,0,937,24,66,2858,75.8,5.1,24.4,93.57351509,0,91.23661149,2.336903603,6.426484907
1400000US53033004600,"Census Tract 46, King County, Washington",1420,1394,0,1386,8,26,2941,75.3,3.5,40.7,98.16901408,0,97.6056338,0.563380282,1.830985915
1400000US53033004700,"Census Tract 47, King County, Washington",5721,5387,0,5065,322,334,8827,84.5,3.1,13.2,94.16185981,0,88.53347317,5.628386646,5.838140185
1400000US53033004800,"Census Tract 48, King County, Washington",2212,2189,0,2130,59,23,4424,82.4,5,52.7,98.960217,0,96.29294756,2.667269439,1.039783002
1400000US53033004900,"Census Tract 49, King County, Washington",3654,3610,16,3422,172,44,6667,85.9,2.5,11.9,98.79584018,0.4378763,93.65079365,4.707170224,1.204159825
1400000US53033005000,"Census Tract 50, King County, Washington",1994,1926,0,1857,69,68,3553,81.1,1.2,17.7,96.58976931,0,93.12938816,3.460381143,3.410230692
1400000US53033005100,"Census Tract 51, King County, Washington",1711,1697,0,1617,80,14,3064,78.3,3,32.3,99.18176505,0,94.50613676,4.675628288,0.81823495
1400000US53033005200,"Census Tract 52, King County, Washington",3075,2869,0,2596,273,206,6236,63.5,3.6,7.6,93.30081301,0,84.42276423,8.87804878,6.699186992
1400000US53033005301,"Census Tract 53.01, King County, Washington",3085,3045,12,2705,328,40,8134,52,9.2,4.4,98.70340357,0.38897893,87.68233387,10.63209076,1.296596434
1400000US53033005302,"Census Tract 53.02, King County, Washington",117,104,0,53,51,13,5320,32,17.6,0,88.88888889,0,45.2991453,43.58974359,11.11111111
1400000US53033005400,"Census Tract 54, King County, Washington",3291,3169,0,2962,207,122,5572,86.5,1.7,8.6,96.29292009,0,90.00303859,6.289881495,3.707079915
1400000US53033005600,"Census Tract 56, King County, Washington",2763,2713,29,2641,43,50,5430,61.8,4.8,45.3,98.19037278,1.049583786,95.58450959,1.556279406,1.809627217
1400000US53033005700,"Census Tract 57, King County, Washington",2856,2748,17,2711,20,108,5464,73.3,2.9,37.3,96.21848739,0.595238095,94.92296919,0.700280112,3.781512605
1400000US53033005801,"Census Tract 58.01, King County, Washington",2747,2685,18,2507,160,62,4658,85,2.9,5.3,97.74299236,0.655260284,91.26319621,5.824535857,2.257007645
1400000US53033005802,"Census Tract 58.02, King County, Washington",3037,2998,0,2810,188,39,5197,77.7,6.3,45.1,98.715838,0,92.5255186,6.190319394,1.284162002
1400000US53033005900,"Census Tract 59, King County, Washington",2773,2647,17,2460,170,126,6841,72.1,4.2,8.3,95.45618464,0.613054454,88.71258565,6.130544537,4.543815362
1400000US53033006000,"Census Tract 60, King County, Washington",2650,2601,0,2535,66,49,5230,80,2.9,0,98.1509434,0,95.66037736,2.490566038,1.849056604
1400000US53033006100,"Census Tract 61, King County, Washington",2962,2920,0,2771,149,42,4879,78.4,1.2,18.2,98.58203916,0,93.55165429,5.030384875,1.417960837
1400000US53033006200,"Census Tract 62, King County, Washington",1665,1665,0,1644,21,0,3708,73.4,4.3,10.3,100,0,98.73873874,1.261261261,0
1400000US53033006300,"Census Tract 63, King County, Washington",2705,2639,0,2447,192,66,4950,60.2,3.4,0,97.56007394,0,90.46210721,7.097966728,2.439926063
1400000US53033006400,"Census Tract 64, King County, Washington",1369,1340,0,1288,52,29,2919,75.6,4.8,61.5,97.88166545,0,94.08327246,3.798392988,2.118334551
1400000US53033006500,"Census Tract 65, King County, Washington",2560,2546,15,2501,30,14,4374,81.9,3.5,2,99.453125,0.5859375,97.6953125,1.171875,0.546875
1400000US53033006600,"Census Tract 66, King County, Washington",2341,2324,0,2263,61,17,4037,84.7,4,68.1,99.27381461,0,96.66809056,2.60572405,0.726185391
1400000US53033006700,"Census Tract 67, King County, Washington",5115,5009,0,4845,164,106,8951,82.2,3.7,24.4,97.92766373,0,94.72140762,3.206256109,2.072336266
1400000US53033006800,"Census Tract 68, King County, Washington",1442,1387,0,1304,83,55,2646,76.5,2.7,11.8,96.18585298,0,90.42995839,5.755894591,3.814147018
1400000US53033006900,"Census Tract 69, King County, Washington",2313,2280,0,2218,62,33,4219,71.9,1.2,21.1,98.57328145,0,95.89277994,2.680501513,1.426718547
1400000US53033007000,"Census Tract 70, King County, Washington",5104,4846,0,4571,275,258,7047,78.7,2.3,12.2,94.94514107,0,89.55721003,5.387931034,5.054858934
1400000US53033007100,"Census Tract 71, King County, Washington",3222,3123,0,2912,211,99,4700,83.3,1.5,9.2,96.9273743,0,90.3786468,6.548727498,3.072625698
1400000US53033007200,"Census Tract 72, King County, Washington",6672,6479,0,5896,583,193,9971,83.4,1.6,16,97.10731415,0,88.36930456,8.738009592,2.892685851
1400000US53033007300,"Census Tract 73, King County, Washington",4850,4440,0,4198,242,410,7154,78.6,7.3,43.4,91.54639175,0,86.55670103,4.989690722,8.453608247
1400000US53033007401,"Census Tract 74.01, King County, Washington",3842,3727,0,3627,100,115,5410,86.8,2.2,11.8,97.00676731,0,94.40395627,2.602811036,2.993232691
1400000US53033007402,"Census Tract 74.02, King County, Washington",3699,3449,20,3070,359,250,5403,83.6,2.8,12.7,93.2414166,0.540686672,82.99540416,9.705325764,6.758583401
1400000US53033007500,"Census Tract 75, King County, Washington",6221,6031,0,5517,514,190,8721,83.4,1.6,18.8,96.94582864,0,88.6834914,8.262337245,3.054171355
1400000US53033007600,"Census Tract 76, King County, Washington",2273,2195,0,2099,96,78,4038,77.9,4.5,45,96.56841179,0,92.34491861,4.223493181,3.431588209
1400000US53033007700,"Census Tract 77, King County, Washington",2450,2360,0,2277,83,90,4614,85.5,4.2,36.4,96.32653061,0,92.93877551,3.387755102,3.673469388
1400000US53033007800,"Census Tract 78, King County, Washington",2304,2247,0,2096,151,57,4693,69.4,1.4,0,97.52604167,0,90.97222222,6.553819444,2.473958333
1400000US53033007900,"Census Tract 79, King County, Washington",3430,3204,0,2928,276,226,5651,77.9,4.8,30.9,93.41107872,0,85.36443149,8.04664723,6.588921283
1400000US53033008001,"Census Tract 80.01, King County, Washington",4872,4705,0,4497,208,167,6976,83.4,5.1,29.3,96.57224959,0,92.30295567,4.269293924,3.427750411
1400000US53033008002,"Census Tract 80.02, King County, Washington",2566,2239,0,1863,376,327,3563,67.3,3,22.8,87.25643024,0,72.60327358,14.65315666,12.74356976
1400000US53033008100,"Census Tract 81, King County, Washington",2805,2327,0,2130,197,478,4533,60.6,6.5,49.3,82.95900178,0,75.93582888,7.023172906,17.04099822
1400000US53033008200,"Census Tract 82, King County, Washington",2855,2749,0,2492,257,106,4175,71.6,4.8,56.6,96.28721541,0,87.2854641,9.001751313,3.712784588
1400000US53033008300,"Census Tract 83, King County, Washington",2138,1910,0,1777,133,228,3195,77.5,1.4,23,89.33582788,0,83.1150608,6.220767072,10.66417212
1400000US53033008400,"Census Tract 84, King County, Washington",3345,3130,0,2817,313,215,4642,80.4,1.9,19.7,93.57249626,0,84.21524664,9.357249626,6.427503737
1400000US53033008500,"Census Tract 85, King County, Washington",1865,1592,0,1322,270,273,4097,32.8,3.9,8,85.36193029,0,70.8847185,14.4772118,14.63806971
1400000US53033008600,"Census Tract 86, King County, Washington",2308,2220,0,1890,330,88,5881,65.9,11.1,14.4,96.18717504,0,81.88908146,14.29809359,3.812824957
1400000US53033008700,"Census Tract 87, King County, Washington",1851,1716,0,1651,65,135,3917,80.5,3.7,19.7,92.70664506,0,89.19502971,3.511615343,7.293354943
1400000US53033008800,"Census Tract 88, King County, Washington",1671,1580,0,1436,144,91,3598,82.2,2.7,10.4,94.55415919,0,85.93656493,8.617594255,5.445840814
1400000US53033008900,"Census Tract 89, King County, Washington",2498,2426,0,2225,201,72,5288,76.9,2.5,0,97.11769416,0,89.07125701,8.04643715,2.882305845
1400000US53033009000,"Census Tract 90, King County, Washington",1798,1513,0,1320,193,285,3003,64.8,5.2,8.5,84.14905451,0,73.41490545,10.73414905,15.85094549
1400000US53033009100,"Census Tract 91, King County, Washington",1569,1213,27,1000,186,356,2327,62,6.2,14.3,77.31038878,1.7208413,63.73486297,11.85468451,22.68961122
1400000US53033009200,"Census Tract 92, King County, Washington",1895,1496,0,1168,328,399,2696,61,5.2,20,78.94459103,0,61.63588391,17.30870712,21.05540897
1400000US53033009300,"Census Tract 93, King County, Washington",1195,1072,0,1004,68,123,2463,74.1,2.8,16.3,89.70711297,0,84.0167364,5.690376569,10.29288703
1400000US53033009400,"Census Tract 94, King County, Washington",2941,2497,34,2219,244,444,6256,74,5,0,84.90309419,1.156069364,75.45052703,8.29649779,15.09690581
1400000US53033009500,"Census Tract 95, King County, Washington",2697,2615,16,2476,123,82,5241,74.2,4.7,0,96.95958472,0.593251761,91.80571005,4.560622914,3.040415276
1400000US53033009600,"Census Tract 96, King County, Washington",2849,2608,0,2542,66,241,5030,66.2,2.7,27.7,91.54089154,0,89.22428922,2.316602317,8.459108459
1400000US53033009701,"Census Tract 97.01, King County, Washington",3119,3032,16,2844,172,87,5345,72.2,1.8,0,97.21064444,0.512984931,91.1830715,5.514588009,2.789355563
1400000US53033009702,"Census Tract 97.02, King County, Washington",2339,2244,0,2182,62,95,4378,71.4,1.5,1.4,95.93843523,0,93.2877298,2.65070543,4.061564771
1400000US53033009800,"Census Tract 98, King County, Washington",3165,3052,0,2950,102,113,5912,73.9,3.6,17,96.42969984,0,93.20695103,3.222748815,3.570300158
1400000US53033009900,"Census Tract 99, King County, Washington",3096,3082,17,2867,198,14,5300,80,5.6,0,99.54780362,0.549095607,92.60335917,6.395348837,0.452196382
1400000US53033010001,"Census Tract 100.01, King County, Washington",1639,1458,0,1287,171,181,3674,68.6,11.7,12.7,88.9566809,0,78.52348993,10.43319097,11.0433191
1400000US53033010002,"Census Tract 100.02, King County, Washington",1860,1701,0,1547,154,159,4084,75,2.5,13.6,91.4516129,0,83.17204301,8.279569892,8.548387097
1400000US53033010100,"Census Tract 101, King County, Washington",3185,3020,18,2696,306,165,7252,69.4,4.4,23.8,94.81946625,0.565149137,84.64678179,9.607535322,5.180533752
1400000US53033010200,"Census Tract 102, King County, Washington",1974,1910,0,1861,49,64,3906,75.6,3,29.8,96.75785208,0,94.27558257,2.482269504,3.242147923
1400000US53033010300,"Census Tract 103, King County, Washington",2825,2483,0,2366,117,342,5713,74,9.6,33.1,87.89380531,0,83.75221239,4.14159292,12.10619469
1400000US53033010401,"Census Tract 104.01, King County, Washington",1441,1303,0,1230,73,138,3787,67.2,8,38.7,90.42331714,0,85.3573907,5.06592644,9.576682859
1400000US53033010402,"Census Tract 104.02, King County, Washington",1747,1611,38,1515,58,136,4229,72.5,4.9,0.6,92.2152261,2.175157413,86.72009159,3.319977104,7.784773898
1400000US53033010500,"Census Tract 105, King County, Washington",4410,4125,24,3931,170,285,7425,74.5,4.3,18.9,93.53741497,0.544217687,89.138322,3.854875283,6.462585034
1400000US53033010600,"Census Tract 106, King County, Washington",3730,3490,0,3408,82,240,6972,73,2.7,18.5,93.56568365,0,91.36729223,2.198391421,6.434316354
1400000US53033010701,"Census Tract 107.01, King County, Washington",1546,1464,0,1390,74,82,2870,78,10.4,50,94.69598965,0,89.90944373,4.786545925,5.304010349
1400000US53033010702,"Census Tract 107.02, King County, Washington",1600,1462,0,1308,154,138,3300,62.6,7.5,12.8,91.375,0,81.75,9.625,8.625
1400000US53033010800,"Census Tract 108, King County, Washington",1890,1769,0,1675,94,121,3959,68.3,4.9,18.6,93.5978836,0,88.62433862,4.973544974,6.402116402
1400000US53033010900,"Census Tract 109, King County, Washington",593,555,10,508,37,38,1023,75.3,6,63.6,93.59190556,1.686340641,85.66610455,6.239460371,6.408094435
1400000US53033011001,"Census Tract 110.01, King County, Washington",1647,1285,21,1027,237,362,3638,49.5,7.5,31,78.02064359,1.275045537,62.35579842,14.38979964,21.97935641
1400000US53033011002,"Census Tract 110.02, King County, Washington",1382,1229,0,1089,140,153,3464,64.6,3.9,3.9,88.92908828,0,78.79884226,10.13024602,11.07091172
1400000US53033011101,"Census Tract 111.01, King County, Washington",1913,1602,0,1490,112,311,4661,67.9,10.1,47.8,83.74281234,0,77.88813382,5.854678515,16.25718766
1400000US53033011102,"Census Tract 111.02, King County, Washington",1601,1363,0,1333,30,238,3922,70.2,3.7,7.5,85.13429107,0,83.26046221,1.873828857,14.86570893
1400000US53033011200,"Census Tract 112, King County, Washington",1436,1211,16,1084,111,225,2796,74.9,11.1,35.8,84.33147632,1.114206128,75.48746518,7.729805014,15.66852368
1400000US53033011300,"Census Tract 113, King County, Washington",3021,2789,13,2383,393,232,5603,73,3.4,7.1,92.3204237,0.430321086,78.88116518,13.00893744,7.679576299
1400000US53033011401,"Census Tract 114.01, King County, Washington",1782,1682,19,1609,54,100,3665,74.5,4.1,19.3,94.38832772,1.066217733,90.29180696,3.03030303,5.611672278
1400000US53033011402,"Census Tract 114.02, King County, Washington",1999,1692,7,1561,124,307,3490,72.3,6.4,27.6,84.64232116,0.350175088,78.08904452,6.203101551,15.35767884
1400000US53033011500,"Census Tract 115, King County, Washington",1984,1929,0,1850,79,55,3745,79.7,3.5,33.9,97.22782258,0,93.24596774,3.981854839,2.772177419
1400000US53033011600,"Census Tract 116, King County, Washington",3163,2961,0,2926,35,202,5908,72.7,2.2,19.1,93.61365792,0,92.5071135,1.10654442,6.38634208
1400000US53033011700,"Census Tract 117, King County, Washington",1642,1568,9,1488,71,74,4527,62.8,6.5,30.1,95.49330085,0.548112058,90.62119367,4.323995128,4.506699147
1400000US53033011800,"Census Tract 118, King County, Washington",2866,2541,21,2370,150,325,6647,68,8.1,38.7,88.66015352,0.732728542,82.69364969,5.233775297,11.33984648
1400000US53033011900,"Census Tract 119, King County, Washington",2587,2512,0,2273,239,75,6178,75,5.6,4.9,97.10088906,0,87.86238887,9.238500193,2.899110939
1400000US53033012000,"Census Tract 120, King County, Washington",1532,1430,0,1381,49,102,2968,77.7,1.1,55.6,93.34203655,0,90.14360313,3.19843342,6.657963446
1400000US53033012100,"Census Tract 121, King County, Washington",1181,1158,0,1143,15,23,2169,68.1,2.8,40,98.05249788,0,96.78238781,1.270110076,1.947502117
1400000US53033020100,"Census Tract 201, King County, Washington",1286,1207,11,1099,97,79,2838,61.6,4.5,50,93.85692068,0.855365474,85.45878694,7.542768274,6.143079316
1400000US53033020200,"Census Tract 202, King County, Washington",2134,2026,0,1848,178,108,4372,53,2.7,49.2,94.93908154,0,86.59793814,8.341143393,5.060918463
